DATE,COUNTY,INDIVIDUALS,CASELOADS,ISSUANCE
2011-01-01,Anderson,15335,7242,1955068
2011-01-01,Bedford,10482,4986,1482907
2011-01-01,Benton,3688,1849,450685
2011-01-01,Bledsoe,3535,1624,451076
2011-01-01,Blount,19346,9194,2563761
2011-01-01,Bradley,19908,9274,2555771
2011-01-01,Campbell,12888,6513,1639742
2011-01-01,Cannon,3337,1593,444014
2011-01-01,Carroll,7092,3325,889648
2011-01-01,Carter,12101,5731,1450782
2011-01-01,Cheatham,6457,2796,870686
2011-01-01,Chester,3643,1671,452732
2011-01-01,Claiborne,8384,3986,1024102
2011-01-01,Clay,2216,1094,266572
2011-01-01,Cocke,11529,5675,1461887
2011-01-01,Coffee,11039,4908,1443067
2011-01-01,Crockett,3306,1591,416757
2011-01-01,Cumberland,11065,5066,1412238
2011-01-01,Davidson,121452,59971,17089127
2011-01-01,Decatur,2775,1357,345372
2011-01-01,Dekalb,4592,2222,607756
2011-01-01,Dickson,9648,4392,1296813
2011-01-01,Dyer,9851,4746,1241766
2011-01-01,Fayette,7014,3627,918334
2011-01-01,Fentress,5937,2902,724214
2011-01-01,Franklin,6783,3033,824621
2011-01-01,Gibson,11271,5416,1433155
2011-01-01,Giles,5919,2854,754239
2011-01-01,Grainger,5252,2301,636094
2011-01-01,Greene,13344,6290,1688337
2011-01-01,Grundy,5139,2401,637333
2011-01-01,Hamblen,12917,6265,1675837
2011-01-01,Hamilton,57655,29184,7895789
2011-01-01,Hancock,2632,1249,315995
2011-01-01,Hardeman,7168,3537,916869
2011-01-01,Hardin,6837,3395,857926
2011-01-01,Hawkins,12404,5710,1541250
2011-01-01,Haywood,6034,3135,762943
2011-01-01,Henderson,6779,3372,847236
2011-01-01,Henry,7703,3587,974212
2011-01-01,Hickman,6231,2799,804794
2011-01-01,Houston,1761,772,217842
2011-01-01,Humphreys,3601,1588,446751
2011-01-01,Jackson,2814,1390,350988
2011-01-01,Jefferson,10935,5041,1400572
2011-01-01,Johnson,4533,2364,559952
2011-01-01,Knox,64319,32627,8706707
2011-01-01,Lake,2291,1225,294993
2011-01-01,Lauderdale,7999,3876,1024740
2011-01-01,Lawrence,8860,4108,1097192
2011-01-01,Lewis,3276,1524,407424
2011-01-01,Lincoln,6832,3154,865838
2011-01-01,Loudon,7148,3245,920457
2011-01-01,Macon,6094,2733,782194
2011-01-01,Madison,20119,9684,2587366
2011-01-01,Marion,7168,3441,940385
2011-01-01,Marshall,6140,2789,790842
2011-01-01,Maury,16526,7820,2208816
2011-01-01,Meigs,3261,1495,422029
2011-01-01,Monroe,10771,4934,1344926
2011-01-01,Montgomery,23975,10732,3223544
2011-01-01,Moore,917,362,108186
2011-01-01,Morgan,5067,2343,649690
2011-01-01,McMinn,11101,5230,1424802
2011-01-01,McNairy,7746,3775,960005
2011-01-01,Obion,6612,3117,798932
2011-01-01,Overton,5005,2352,609446
2011-01-01,Perry,2063,950,260046
2011-01-01,Pickett,1059,544,128240
2011-01-01,Polk,4071,1797,497792
2011-01-01,Putnam,14245,6946,1892053
2011-01-01,Rhea,8375,3909,1090514
2011-01-01,Roane,9969,4782,1261967
2011-01-01,Robertson,11626,5454,1591550
2011-01-01,Rutherford,38023,16969,5216912
2011-01-01,Scott,8132,3924,996534
2011-01-01,Sequatchie,3917,1777,514921
2011-01-01,Sevier,17069,7477,2207728
2011-01-01,Shelby,249035,120024,35250853
2011-01-01,Smith,3963,1791,522969
2011-01-01,Stewart,2306,963,272315
2011-01-01,Sullivan,28050,13342,3518006
2011-01-01,Sumner,22554,10184,3053807
2011-01-01,Tipton,13405,6265,1807013
2011-01-01,Trousdale,1743,808,220443
2011-01-01,Unicoi,3937,1934,476892
2011-01-01,Union,5333,2305,668252
2011-01-01,Van Buren,1349,601,158533
2011-01-01,Warren,9663,4455,1202170
2011-01-01,Washington,18509,9374,2430676
2011-01-01,Wayne,3384,1619,417037
2011-01-01,Weakley,7038,3537,889010
2011-01-01,White,5974,2672,727986
2011-01-01,Williamson,7787,3427,1038512
2011-01-01,Wilson,14304,6794,1949072
2011-02-01,Anderson,15234,7203,1943861
2011-02-01,Bedford,10759,5110,1542375
2011-02-01,Benton,3597,1815,441753
2011-02-01,Bledsoe,3514,1617,449587
2011-02-01,Blount,19347,9249,2589184
2011-02-01,Bradley,19764,9211,2538578
2011-02-01,Campbell,12846,6490,1636976
2011-02-01,Cannon,3315,1571,442145
2011-02-01,Carroll,6973,3275,873587
2011-02-01,Carter,12119,5746,1451059
2011-02-01,Cheatham,6461,2800,865711
2011-02-01,Chester,3630,1674,454369
2011-02-01,Claiborne,8326,3975,1011054
2011-02-01,Clay,2207,1086,265880
2011-02-01,Cocke,11470,5642,1462644
2011-02-01,Coffee,10902,4869,1433408
2011-02-01,Crockett,3359,1602,424570
2011-02-01,Cumberland,11004,5073,1403121
2011-02-01,Davidson,120674,59587,17000942
2011-02-01,Decatur,2711,1345,336333
2011-02-01,Dekalb,4621,2242,615744
2011-02-01,Dickson,9585,4390,1285097
2011-02-01,Dyer,9737,4699,1219495
2011-02-01,Fayette,7022,3629,916186
2011-02-01,Fentress,5953,2899,721614
2011-02-01,Franklin,6698,3014,815818
2011-02-01,Gibson,11148,5378,1413232
2011-02-01,Giles,5877,2828,754873
2011-02-01,Grainger,5158,2279,629181
2011-02-01,Greene,13135,6228,1660782
2011-02-01,Grundy,5079,2385,631989
2011-02-01,Hamblen,12836,6212,1675410
2011-02-01,Hamilton,57093,29053,7799961
2011-02-01,Hancock,2594,1234,311041
2011-02-01,Hardeman,7138,3545,914775
2011-02-01,Hardin,6800,3355,845044
2011-02-01,Hawkins,12488,5729,1553610
2011-02-01,Haywood,6013,3133,760261
2011-02-01,Henderson,6727,3351,842784
2011-02-01,Henry,7610,3552,965205
2011-02-01,Hickman,6233,2795,811113
2011-02-01,Houston,1752,754,211364
2011-02-01,Humphreys,3613,1587,451073
2011-02-01,Jackson,2871,1419,363936
2011-02-01,Jefferson,10889,5041,1396982
2011-02-01,Johnson,4531,2368,562932
2011-02-01,Knox,64278,32548,8683333
2011-02-01,Lake,2278,1230,294503
2011-02-01,Lauderdale,7950,3831,1023687
2011-02-01,Lawrence,8727,4071,1080276
2011-02-01,Lewis,3239,1497,400661
2011-02-01,Lincoln,6880,3175,867044
2011-02-01,Loudon,7060,3221,912197
2011-02-01,Macon,6163,2770,786090
2011-02-01,Madison,19868,9623,2565901
2011-02-01,Marion,7058,3397,924645
2011-02-01,Marshall,6196,2818,794764
2011-02-01,Maury,16521,7811,2212733
2011-02-01,Meigs,3200,1481,420679
2011-02-01,Monroe,10711,4912,1332469
2011-02-01,Montgomery,23849,10651,3201001
2011-02-01,Moore,906,353,105704
2011-02-01,Morgan,5046,2339,651792
2011-02-01,McMinn,10993,5185,1402397
2011-02-01,McNairy,7678,3762,952120
2011-02-01,Obion,6580,3083,798574
2011-02-01,Overton,4859,2310,590283
2011-02-01,Perry,2068,952,259162
2011-02-01,Pickett,1064,545,127460
2011-02-01,Polk,4073,1795,500749
2011-02-01,Putnam,14171,6901,1886088
2011-02-01,Rhea,8404,3923,1093498
2011-02-01,Roane,9773,4700,1227891
2011-02-01,Robertson,11612,5475,1589207
2011-02-01,Rutherford,37851,16924,5184056
2011-02-01,Scott,8060,3882,985024
2011-02-01,Sequatchie,3924,1763,514580
2011-02-01,Sevier,17183,7533,2226877
2011-02-01,Shelby,247716,119404,35082388
2011-02-01,Smith,3983,1784,522082
2011-02-01,Stewart,2328,976,274877
2011-02-01,Sullivan,27949,13295,3518860
2011-02-01,Sumner,22422,10153,3053705
2011-02-01,Tipton,13222,6196,1787616
2011-02-01,Trousdale,1721,794,214900
2011-02-01,Unicoi,3964,1929,484722
2011-02-01,Union,5348,2313,671347
2011-02-01,Van Buren,1316,595,157938
2011-02-01,Warren,9549,4401,1192853
2011-02-01,Washington,18548,9403,2432354
2011-02-01,Wayne,3336,1600,408792
2011-02-01,Weakley,6917,3478,874841
2011-02-01,White,5948,2664,732232
2011-02-01,Williamson,7746,3393,1033544
2011-02-01,Wilson,14151,6721,1921258
2011-03-01,Anderson,15391,7305,1977101
2011-03-01,Bedford,10929,5197,1559693
2011-03-01,Benton,3694,1843,457335
2011-03-01,Bledsoe,3562,1640,460014
2011-03-01,Blount,19568,9363,2640981
2011-03-01,Bradley,19989,9349,2581787
2011-03-01,Campbell,12896,6531,1645152
2011-03-01,Cannon,3309,1578,442071
2011-03-01,Carroll,7113,3343,896783
2011-03-01,Carter,12218,5824,1471661
2011-03-01,Cheatham,6580,2850,893233
2011-03-01,Chester,3649,1678,459084
2011-03-01,Claiborne,8404,4016,1025240
2011-03-01,Clay,2217,1104,269488
2011-03-01,Cocke,11607,5725,1485101
2011-03-01,Coffee,11124,4997,1489185
2011-03-01,Crockett,3412,1640,439240
2011-03-01,Cumberland,11142,5170,1429647
2011-03-01,Davidson,122872,60728,17460878
2011-03-01,Decatur,2737,1358,341015
2011-03-01,Dekalb,4641,2243,622907
2011-03-01,Dickson,9672,4467,1316174
2011-03-01,Dyer,9863,4726,1249009
2011-03-01,Fayette,7164,3688,942126
2011-03-01,Fentress,5946,2909,727210
2011-03-01,Franklin,6771,3044,821283
2011-03-01,Gibson,11323,5505,1453726
2011-03-01,Giles,5902,2845,764606
2011-03-01,Grainger,5253,2318,644511
2011-03-01,Greene,13173,6282,1690836
2011-03-01,Grundy,5138,2415,640625
2011-03-01,Hamblen,13009,6291,1699812
2011-03-01,Hamilton,58058,29557,8016352
2011-03-01,Hancock,2632,1262,314180
2011-03-01,Hardeman,7139,3547,926835
2011-03-01,Hardin,6922,3419,867002
2011-03-01,Hawkins,12582,5795,1575618
2011-03-01,Haywood,6021,3148,759616
2011-03-01,Henderson,6783,3375,848074
2011-03-01,Henry,7607,3582,974047
2011-03-01,Hickman,6306,2841,819126
2011-03-01,Houston,1805,763,220494
2011-03-01,Humphreys,3639,1601,456542
2011-03-01,Jackson,2833,1413,358849
2011-03-01,Jefferson,10975,5103,1417400
2011-03-01,Johnson,4589,2403,567727
2011-03-01,Knox,65533,33259,8922762
2011-03-01,Lake,2285,1222,297642
2011-03-01,Lauderdale,7961,3825,1021492
2011-03-01,Lawrence,8914,4160,1114495
2011-03-01,Lewis,3295,1538,413653
2011-03-01,Lincoln,6881,3175,870815
2011-03-01,Loudon,7152,3271,931181
2011-03-01,Macon,6227,2788,806648
2011-03-01,Madison,20018,9735,2614916
2011-03-01,Marion,7185,3449,937581
2011-03-01,Marshall,6249,2839,807121
2011-03-01,Maury,16653,7892,2235949
2011-03-01,Meigs,3234,1500,426851
2011-03-01,Monroe,10701,4928,1340724
2011-03-01,Montgomery,24276,10884,3327736
2011-03-01,Moore,927,365,109194
2011-03-01,Morgan,5090,2357,657256
2011-03-01,McMinn,11098,5251,1434373
2011-03-01,McNairy,7777,3810,962902
2011-03-01,Obion,6631,3110,806447
2011-03-01,Overton,4945,2343,603725
2011-03-01,Perry,2091,966,261134
2011-03-01,Pickett,1063,550,128990
2011-03-01,Polk,4090,1807,500641
2011-03-01,Putnam,14422,7021,1935451
2011-03-01,Rhea,8326,3893,1094976
2011-03-01,Roane,9955,4807,1269627
2011-03-01,Robertson,11830,5563,1632982
2011-03-01,Rutherford,38507,17250,5318372
2011-03-01,Scott,8225,3967,1010437
2011-03-01,Sequatchie,3956,1780,522899
2011-03-01,Sevier,17789,7814,2321534
2011-03-01,Shelby,251003,121404,35795210
2011-03-01,Smith,4051,1818,535439
2011-03-01,Stewart,2348,988,277095
2011-03-01,Sullivan,28307,13507,3583883
2011-03-01,Sumner,22749,10308,3137785
2011-03-01,Tipton,13418,6271,1809013
2011-03-01,Trousdale,1745,810,221577
2011-03-01,Unicoi,3974,1931,485307
2011-03-01,Union,5380,2338,677354
2011-03-01,Van Buren,1335,601,156963
2011-03-01,Warren,9660,4462,1210041
2011-03-01,Washington,18792,9580,2494104
2011-03-01,Wayne,3323,1597,404199
2011-03-01,Weakley,6984,3525,889240
2011-03-01,White,6037,2722,746256
2011-03-01,Williamson,7873,3445,1059376
2011-03-01,Wilson,14329,6778,1952288
2011-04-01,Anderson,15208,7244,1962721
2011-04-01,Bedford,10851,5140,1529679
2011-04-01,Benton,3622,1804,444118
2011-04-01,Bledsoe,3569,1625,450785
2011-04-01,Blount,19296,9252,2601242
2011-04-01,Bradley,19896,9323,2583791
2011-04-01,Campbell,12912,6543,1648646
2011-04-01,Cannon,3303,1579,439188
2011-04-01,Carroll,7031,3305,890728
2011-04-01,Carter,12160,5811,1472248
2011-04-01,Cheatham,6494,2834,870195
