STATENAME,MTFCC,OID,GEOID,STATE,PLACE,PLACENS,BASENAME,NAME,LSADC,FUNCSTAT,PLACECC,AREALAND,AREAWATER,UR,CBSAPCI,NECTAPCI,CENTLAT,CENTLON,INTPTLAT,INTPTLON
Alabama,G4210,280303717391685,0100100,01,00100,02582661,Abanda,Abanda CDP,57,S,U1,7764034,34284,,N,N,+33.0926225,-085.5253404,+33.0916268,-085.5270288
Alabama,G4210,28030103022967,0101180,01,01180,02402638,Alexandria,Alexandria CDP,57,S,U1,28840486,27589,,N,N,+33.7674763,-085.8792079,+33.7608190,-085.8720082
Alabama,G4210,280303942393531,0103508,01,03508,02628577,Axis,Axis CDP,57,S,U1,10091390,28325,,N,N,+30.9296328,-088.0179185,+30.9221711,-088.0226202
Alabama,G4210,280303717391697,0103820,01,03820,02582662,Ballplay,Ballplay CDP,57,S,U1,60996780,485209,,N,N,+34.0178636,-085.7852315,+34.0230465,-085.8014777
Alabama,G4210,280303942392551,0105140,01,05140,02628578,Belgreen,Belgreen CDP,57,S,U1,3180831,15104,,N,N,+34.4767572,-087.8652868,+34.4745400,-087.8616784
Alabama,G4210,280303942392683,0105188,01,05188,02628579,Bellamy,Bellamy CDP,57,S,U1,9780480,108299,,N,N,+32.4581979,-088.1276914,+32.4636582,-088.1314811
Alabama,G4210,280303942394213,0105212,01,05212,02632282,Belle Fontaine,Belle Fontaine CDP,57,S,U2,4022920,939300,,N,N,+30.4919083,-088.1106226,+30.4894922,-088.1059399
Alabama,G4210,28030332697494,0107588,01,07588,02402696,Blue Ridge,Blue Ridge CDP,57,S,U1,20093252,229633,,N,N,+32.5010336,-086.1839011,+32.4989004,-086.1824364
Alabama,G4210,280305321430044,0108272,01,08272,02633314,Bon Secour,Bon Secour CDP,57,S,U1,11190200,859585,,N,N,+30.3222632,-087.7271598,+30.3182457,-087.7243898
Alabama,G4210,280303942393418,0108680,01,08680,02628580,Boykin,Boykin CDP,57,S,U1,7239597,30520,,N,N,+32.0695705,-087.2915204,+32.0683752,-087.2943433
Alabama,G4210,280303717391927,0109064,01,09064,02582663,Brantleyville,Brantleyville CDP,57,S,U1,5687772,26749,,N,N,+33.2195558,-086.8820261,+33.2193035,-086.8825215
Alabama,G4210,280303717391707,0109457,01,09457,02582664,Bristow Cove,Bristow Cove CDP,57,S,U2,28083738,,,N,N,+34.1092160,-086.2409934,+34.1092160,-086.2409934
Alabama,G4210,280303717391954,0109500,01,09500,02403203,Brook Highland,Brook Highland CDP,57,S,U1,7210835,166108,,N,N,+33.4359087,-086.6848543,+33.4403785,-086.6848798
Alabama,G4210,280303717391708,0109880,01,09880,02582666,Broomtown,Broomtown CDP,57,S,U1,12156602,,,N,N,+34.3657277,-085.5321123,+34.3657277,-085.5321123
Alabama,G4210,280303942393566,0110456,01,10456,02628581,Bucks,Bucks CDP,57,S,U1,1003273,92976,,N,N,+31.0168992,-088.0249347,+31.0168810,-088.0263850
Alabama,G4210,280303942393631,0111488,01,11488,02628582,Calvert,Calvert CDP,57,S,U1,6056150,48801,,N,N,+31.1539534,-088.0169717,+31.1498980,-088.0215495
Alabama,G4210,280303717391712,0112070,01,12070,02582667,Carlisle-Rockledge,Carlisle-Rockledge CDP,57,S,U2,41929034,12741,,N,N,+34.1140316,-086.1190703,+34.1144505,-086.1240725
Alabama,G4210,280303942393682,0112112,01,12112,02628583,Carlton,Carlton CDP,57,S,U1,11706473,12193,,N,N,+31.3430439,-087.8377924,+31.3485713,-087.8356660
Alabama,G4210,280303942393438,0112544,01,12544,02628584,Catherine,Catherine CDP,57,S,U1,5944734,,,N,N,+32.1861704,-087.4699781,+32.1861704,-087.4699781
Alabama,G4210,280303717391910,0114728,01,14728,02582668,Choccolocco,Choccolocco CDP,57,S,U1,30164015,239225,,N,N,+33.6682951,-085.7128956,+33.6677275,-085.7071910
Alabama,G4210,280303942393743,0114968,01,14968,02628585,Chunchula,Chunchula CDP,57,S,U1,4671130,21008,,N,N,+30.9237244,-088.2071771,+30.9271941,-088.2082000
Alabama,G4210,280303717392026,0116080,01,16080,02582669,Coats Bend,Coats Bend CDP,57,S,U1,22144512,67515,,N,N,+34.0773970,-085.8742214,+34.0732735,-085.8746016
