USPS,STATENAME,NAME,GEOID,ANSICODE,TYPE,LSAD,FUNCSTAT,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                 
AL,Alabama,Abanda,100100,2582661,cdp,57,S,7764034,34284,2.998,0.013,33.091627,-85.527029
AL,Alabama,Abbeville,100124,2403054,city,25,A,40255361,107642,15.543,0.042,31.564706,-85.259121
AL,Alabama,Adamsville,100460,2403063,city,25,A,67897213,540470,26.215,0.209,33.602315,-86.971527
AL,Alabama,Addison,100484,2405123,town,43,A,9753293,83417,3.766,0.032,34.202681,-87.178004
AL,Alabama,Akron,100676,2405125,town,43,A,1776165,13849,0.686,0.005,32.879066,-87.740899
AL,Alabama,Alabaster,100820,2403069,city,25,A,67985808,820693,26.249,0.317,33.214355,-86.82308
AL,Alabama,Albertville,100988,2403074,city,25,A,69766491,258708,26.937,0.1,34.26313,-86.21066
AL,Alabama,Alexander,101132,2403077,city,25,A,119261292,752759,46.047,0.291,32.916719,-85.940589
AL,Alabama,Alexandria,101180,2402638,cdp,57,S,28840486,27589,11.135,0.011,33.760819,-85.872008
AL,Alabama,Aliceville,101228,2403080,city,25,A,11835209,0,4.57,0,33.123706,-88.159344
AL,Alabama,Allgood,101396,2405136,town,43,A,2690288,1452,1.039,0.001,33.907623,-86.516109
AL,Alabama,Altoona,101660,2405146,town,43,A,11918557,25442,4.602,0.01,34.040014,-86.305179
AL,Alabama,Andalusia,101708,2403097,city,25,A,51318234,405912,19.814,0.157,31.309436,-86.478031
AL,Alabama,Anderson,101756,2405149,town,43,A,3347216,1520,1.292,0.001,34.915675,-87.274274
AL,Alabama,Anniston,101852,2403101,city,25,A,118685593,180468,45.825,0.07,33.673469,-85.810891
AL,Alabama,Arab,102116,2403104,city,25,A,34499247,344544,13.32,0.133,34.332387,-86.501167
AL,Alabama,Ardmore,102260,2405163,town,43,A,5289895,21830,2.042,0.008,34.987838,-86.829022
AL,Alabama,Argo,102320,2405164,town,43,A,27715065,147613,10.701,0.057,33.691018,-86.505281
AL,Alabama,Ariton,102428,2405166,town,43,A,13182492,0,5.09,0,31.597772,-85.713061
AL,Alabama,Arley,102500,2405167,town,43,A,10057485,33989,3.883,0.013,34.076234,-87.217831
AL,Alabama,Ashford,102836,2405172,town,43,A,16064130,56699,6.202,0.022,31.185284,-85.236236
AL,Alabama,Ashland,102860,2405173,town,43,A,19025387,85046,7.346,0.033,33.269892,-85.833706
AL,Alabama,Ashville,102908,2403122,city,25,A,49762932,487106,19.214,0.188,33.835197,-86.270015
AL,Alabama,Athens,102956,2403123,city,25,A,105164142,684530,40.604,0.264,34.779021,-86.950799
AL,Alabama,Atmore,103004,2403129,city,25,A,56622390,194415,21.862,0.075,31.124067,-87.457798
AL,Alabama,Attalla,103028,2403130,city,25,A,18126809,0,6.999,0,33.986189,-86.121037
AL,Alabama,Auburn,103076,2403132,city,25,A,161837585,2679135,62.486,1.034,32.607806,-85.494746
AL,Alabama,Autaugaville,103220,2405187,town,43,A,20286746,530328,7.833,0.205,32.432563,-86.658752
AL,Alabama,Avon,103364,2405191,town,43,A,6120731,16998,2.363,0.007,31.179727,-85.279211
AL,Alabama,Axis,103508,2628577,cdp,57,S,9050924,25663,3.495,0.01,30.922171,-88.02262
AL,Alabama,Babbie,103556,2405195,town,43,A,29709390,302262,11.471,0.117,31.302083,-86.319437
AL,Alabama,Baileyton,103676,2405198,town,43,A,13611429,155195,5.255,0.06,34.260858,-86.608788
AL,Alabama,Bakerhill,103724,2405200,town,43,A,7126271,0,2.751,0,31.776923,-85.295408
AL,Alabama,Ballplay,103820,2582662,cdp,57,S,60997107,485209,23.551,0.187,34.023047,-85.801478
AL,Alabama,Banks,103940,2405206,town,43,A,5145554,0,1.987,0,31.813264,-85.836434
AL,Alabama,Bay Minette,104660,2403825,city,25,A,44707889,198121,17.262,0.076,30.894436,-87.791306
AL,Alabama,Bayou La Batre,104684,2403828,city,25,A,19398410,369464,7.49,0.143,30.407586,-88.263271
AL,Alabama,Bear Creek,104852,2405219,town,43,A,35292592,348423,13.627,0.135,34.255481,-87.713399
AL,Alabama,Beatrice,104900,2405221,town,43,A,3503547,0,1.353,0,31.733309,-87.209046
AL,Alabama,Beaverton,104948,2405225,town,43,A,11882805,0,4.588,0,33.935411,-88.021778
AL,Alabama,Belgreen,105140,2628578,cdp,57,S,3180831,15104,1.228,0.006,34.47454,-87.861678
AL,Alabama,Belk,105164,2405230,town,43,A,3590249,0,1.386,0,33.651641,-87.92861
AL,Alabama,Bellamy,105188,2628579,cdp,57,S,9780480,108299,3.776,0.042,32.463658,-88.131481
AL,Alabama,Belle Fontaine,105212,2632282,cdp,57,S,4022920,939300,1.553,0.363,30.489492,-88.10594
AL,Alabama,Benton,105692,2405243,town,43,A,782124,89396,0.302,0.035,32.307931,-86.817546
AL,Alabama,Berlin,105812,2797102,town,43,A,3665446,11362,1.415,0.004,34.185005,-86.748955
AL,Alabama,Berry,105932,2405250,town,43,A,27884733,15029,10.766,0.006,33.666702,-87.609311
AL,Alabama,Bessemer,105980,2403864,city,25,A,104964037,546981,40.527,0.211,33.370858,-86.971522
AL,Alabama,Billingsley,106460,2405265,town,43,A,3041978,3909,1.175,0.002,32.664711,-86.706713
AL,Alabama,Birmingham,107000,2403868,city,25,A,380909070,6540027,147.07,2.525,33.527174,-86.797036
AL,Alabama,Black,107120,2405270,town,43,A,10498683,18883,4.054,0.007,31.00977,-85.74442
AL,Alabama,Blountsville,107456,2405280,town,43,A,14039367,179778,5.421,0.069,34.075838,-86.583918
AL,Alabama,Blue Ridge,107588,2402696,cdp,57,S,20093252,229633,7.758,0.089,32.4989,-86.182436
AL,Alabama,Blue Springs,107672,2405286,town,43,A,7500883,0,2.896,0,31.663516,-85.503526
AL,Alabama,Boaz,107912,2403886,city,25,A,37683442,161880,14.55,0.063,34.19902,-86.155151
AL,Alabama,Boligee,108104,2405297,town,43,A,10233609,36323,3.951,0.014,32.768081,-88.02859
AL,Alabama,Bon Air,108248,2405301,town,43,A,3436489,15386,1.327,0.006,33.25937,-86.327148
AL,Alabama,Bon Secour,108272,2633314,cdp,57,S,11190200,859585,4.321,0.332,30.318246,-87.72439
AL,Alabama,Boykin,108680,2628580,cdp,57,S,7239597,30520,2.795,0.012,32.068375,-87.294343
AL,Alabama,Brantley,109016,2405315,town,43,A,8047471,130826,3.107,0.051,31.581992,-86.256784
AL,Alabama,Brantleyville,109064,2582663,cdp,57,S,5687781,26749,2.196,0.01,33.219303,-86.882522
AL,Alabama,Brent,109136,2403918,city,25,A,22794285,77911,8.801,0.03,32.944893,-87.172088
AL,Alabama,Brewton,109208,2403921,city,25,A,29257482,612453,11.296,0.236,31.109175,-87.076583
AL,Alabama,Bridgeport,109328,2403924,city,25,A,11208792,334209,4.328,0.129,34.949312,-85.723765
AL,Alabama,Brighton,109400,2403925,city,25,A,3664075,0,1.415,0,33.439551,-86.945404
AL,Alabama,Brilliant,109424,2405321,town,43,A,27431774,0,10.591,0,34.025671,-87.769047
AL,Alabama,Bristow Cove,109457,2582664,cdp,57,S,28083738,0,10.843,0,34.109216,-86.240993
AL,Alabama,Brook Highland,109500,2403203,cdp,57,S,7140983,161104,2.757,0.062,33.438035,-86.685262
AL,Alabama,Brookside,109736,2405331,town,43,A,16350025,27676,6.313,0.011,33.634617,-86.906314
AL,Alabama,Brookwood,109808,2405333,town,43,A,21679664,234011,8.371,0.09,33.239842,-87.331488
AL,Alabama,Broomtown,109880,2582666,cdp,57,S,12156602,0,4.694,0,34.365728,-85.532112
AL,Alabama,Brundidge,110240,2403943,city,25,A,25241183,83770,9.746,0.032,31.717639,-85.81755
AL,Alabama,Bucks,110456,2628581,cdp,57,S,1003273,92976,0.387,0.036,31.016881,-88.026385
AL,Alabama,Butler,111032,2405351,town,43,A,17484933,0,6.751,0,32.096479,-88.210781
AL,Alabama,Calera,111416,2403965,city,25,A,63522085,683532,24.526,0.264,33.122319,-86.745644
AL,Alabama,Calvert,111488,2628582,cdp,57,S,6055698,48801,2.338,0.019,31.149898,-88.021549
AL,Alabama,Camden,111512,2403975,city,25,A,10836796,34892,4.184,0.013,31.998493,-87.28895
AL,Alabama,Camp Hill,111680,2405370,town,43,A,23283989,256573,8.99,0.099,32.797327,-85.655833
AL,Alabama,Carbon Hill,112016,2403992,city,25,A,14272318,194614,5.511,0.075,33.894991,-87.522078
AL,Alabama,Cardiff,112040,2405377,town,43,A,541113,0,0.209,0,33.64729,-86.930637
AL,Alabama,Carlisle-Rockledge,112070,2582667,cdp,57,S,41958383,12741,16.2,0.005,34.114451,-86.124073
AL,Alabama,Carlton,112112,2628583,cdp,57,S,11706473,12193,4.52,0.005,31.348571,-87.835666
AL,Alabama,Carolina,112160,2405380,town,43,A,2871453,20504,1.109,0.008,31.23415,-86.521001
AL,Alabama,Carrollton,112304,2405384,town,43,A,5331435,59271,2.058,0.023,33.261903,-88.095071
AL,Alabama,Castleberry,112496,2406236,town,43,A,4432153,48012,1.711,0.019,31.299678,-87.029129
AL,Alabama,Catherine,112544,2628584,cdp,57,S,5944734,0,2.295,0,32.18617,-87.469978
AL,Alabama,Cedar Bluff,112760,2406240,town,43,A,12455267,37623,4.809,0.015,34.221422,-85.588565
AL,Alabama,Center Point,113264,2404020,city,25,A,16096569,21221,6.215,0.008,33.643903,-86.684567
AL,Alabama,Centre,113648,2404025,city,25,A,30310951,141022,11.703,0.054,34.153059,-85.671683
AL,Alabama,Centreville,113672,2404026,city,25,A,24478646,377665,9.451,0.146,32.958967,-87.132043
AL,Alabama,Chatom,114008,2406259,town,43,A,27770887,0,10.722,0,31.469145,-88.246019
AL,Alabama,Chelsea,114104,2404037,city,25,A,85476839,1201063,33.003,0.464,33.309007,-86.635139
AL,Alabama,Cherokee,114152,2406262,town,43,A,5740573,704,2.216,0,34.7577,-87.965589
AL,Alabama,Chickasaw,114392,2404045,city,25,A,10894954,908483,4.207,0.351,30.77145,-88.079697
AL,Alabama,Childersburg,114464,2404048,city,25,A,31936897,652345,12.331,0.252,33.292549,-86.340844
AL,Alabama,Choccolocco,114728,2582668,cdp,57,S,30164015,352789,11.646,0.136,33.667728,-85.707191
AL,Alabama,Chunchula,114968,2628585,cdp,57,S,4671130,21008,1.804,0.008,30.927194,-88.2082
AL,Alabama,Citronelle,115064,2404051,city,25,A,67017592,718430,25.876,0.277,31.097269,-88.249843
AL,Alabama,Clanton,115136,2404052,city,25,A,59971720,357782,23.155,0.138,32.845572,-86.619494
AL,Alabama,Clay,115256,2404063,city,25,A,29203069,165786,11.275,0.064,33.696583,-86.608182
AL,Alabama,Clayhatchee,115304,2406273,town,43,A,7039405,0,2.718,0,31.236925,-85.721478
AL,Alabama,Clayton,115376,2406274,town,43,A,17550106,0,6.776,0,31.882277,-85.460454
AL,Alabama,Cleveland,115472,2406278,town,43,A,20332689,88040,7.85,0.034,34.002179,-86.561352
AL,Alabama,Clio,115640,2404082,city,25,A,26070326,23254,10.066,0.009,31.708516,-85.611039
AL,Alabama,Coaling,116000,2406286,town,43,A,12983178,178716,5.013,0.069,33.169901,-87.349887
AL,Alabama,Coats Bend,116080,2582669,cdp,57,S,22144512,67515,8.55,0.026,34.073273,-85.874602
AL,Alabama,Coffee Springs,116240,2406288,town,43,A,2030176,29256,0.784,0.011,31.165836,-85.910898
AL,Alabama,Coffeeville,116264,2406289,town,43,A,11706601,0,4.52,0,31.766564,-88.086049
